Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP00274,Male,Yes,2,Not Graduate,Yes,184960,155307,3526435,360,0,Rural,N
LP00867,Male,Yes,0,Graduate,Yes,361647,15637,3953981,120,1,Semiurban,Y
LP00604,Male,No,3+,Not Graduate,No,194344,44922,3548882,360,1,Rural,Y
LP01785,Male,Yes,1,Not Graduate,Yes,207078,168404,4898176,240,0,Semiurban,N
LP01742,Male,Yes,3+,Graduate,No,205579,147301,4311913,180,1,Semiurban,Y
LP00596,Male,Yes,0,Not Graduate,No,427589,130654,3860900,120,1,Semiurban,Y
LP01144,Male,No,0,Not Graduate,No,374658,8460,4543546,120,0,Rural,N
LP01886,Male,No,1,Graduate,No,174064,187035,4408717,360,0,Urban,N
LP00458,Male,Yes,2,Not Graduate,Yes,51660,103154,2985597,360,1,Semiurban,Y
LP00890,Female,No,0,Graduate,Yes,223622,135091,772363,240,1,Urban,Y
LP01313,Female,Yes,2,Graduate,No,370689,167230,1509913,180,1,Semiurban,Y
LP01230,Male,No,3+,Graduate,No,465690,52655,4477294,360,1,Urban,Y
LP01014,Male,Yes,0,Not Graduate,Yes,252772,128588,1007399,120,1,Urban,Y
LP00605,Male,No,0,Not Graduate,Yes,496674,2395,2399093,180,1,Rural,Y
LP01605,Male,Yes,1,Graduate,Yes,216101,3224,4191471,180,0,Semiurban,N
LP01856,Male,Yes,1,Not Graduate,Yes,422953,116413,2084820,300,1,Rural,Y
LP01051,Male,No,2,Not Graduate,Yes,381754,173507,2339427,180,0,Semiurban,N
LP01888,Male,Yes,0,Graduate,Yes,336034,23650,3853731,120,1,Semiurban,Y
LP00301,Male,Yes,0,Graduate,Yes,385129,4882,3990662,120,1,Urban,Y
LP00467,Male,Yes,0,Graduate,No,192520,113996,4445268,360,1,Urban,Y
LP01018,Male,No,1,Not Graduate,Yes,312146,59558,2997376,120,1,Urban,Y
LP00561,Male,No,2,Not Graduate,No,158689,47104,627812,360,1,Rural,Y
LP01710,Male,No,3+,Graduate,No,115837,70136,3699422,180,0,Rural,N
LP01745,Female,Yes,3+,Not Graduate,No,308277,158284,2672218,120,1,Rural,Y
LP01044,Male,Yes,3+,Not Graduate,No,198422,40445,1090473,240,1,Semiurban,Y
LP01799,Female,No,2,Not Graduate,Yes,68073,191708,4554778,180,1,Urban,Y
LP01697,Female,No,1,Not Graduate,No,227361,174176,835631,300,1,Urban,Y
LP00096,Male,No,3+,Not Graduate,No,173884,106468,2041277,120,0,Urban,N
LP00007,Male,No,0,Graduate,Yes,29031,161804,894230,360,0,Semiurban,N
LP00664,Female,Yes,1,Not Graduate,No,392034,87468,3301646,120,0,Rural,N
LP01352,Female,Yes,1,Graduate,Yes,122233,7003,796917,240,1,Rural,Y
LP00436,Female,No,3+,Not Graduate,No,453388,83460,2806761,360,0,Semiurban,N
LP00188,Male,Yes,3+,Graduate,No,60632,122134,4348376,120,0,Semiurban,N
LP01075,Female,No,3+,Graduate,Yes,211908,144277,1417004,180,0,Semiurban,N
LP00685,Male,Yes,3+,Graduate,Yes,172766,135494,1877640,120,0,Rural,N
LP00782,Male,Yes,2,Graduate,No,172760,118928,2351083,240,0,Urban,N
LP00405,Male,Yes,0,Not Graduate,Yes,246219,118185,1324360,180,1,Semiurban,Y
LP01956,Female,No,3+,Graduate,Yes,428157,149248,2572805,300,0,Rural,N
LP00718,Male,No,3+,Not Graduate,No,242483,34553,3056239,180,1,Urban,Y
LP00192,Male,Yes,0,Graduate,No,271187,172109,993862,360,0,Urban,N
LP01713,Male,No,2,Graduate,Yes,419111,33170,1709454,300,1,Urban,Y
LP01980,Male,No,2,Not Graduate,No,54955,108720,704691,360,0,Urban,N
LP00355,Female,No,2,Graduate,Yes,132217,165035,4063819,360,1,Urban,Y
LP01534,Female,Yes,0,Graduate,Yes,202172,131866,1298770,240,0,Urban,N
LP01571,Female,No,1,Graduate,No,53272,169074,3454167,120,0,Rural,N
LP00781,Male,No,3+,Graduate,Yes,400419,59280,4023840,360,1,Urban,Y
LP00286,Female,No,1,Not Graduate,Yes,346740,38950,3575855,360,1,Rural,Y
LP01215,Male,Yes,1,Graduate,No,329766,95887,1975452,180,1,Rural,Y
LP00143,Male,No,3+,Graduate,No,159451,127213,1463484,300,0,Rural,N
LP00660,Female,Yes,3+,Graduate,Yes,363778,81387,3380712,120,1,Rural,Y
LP01542,Female,Yes,3+,Not Graduate,Yes,135807,192958,2026129,180,0,Semiurban,N
LP00875,Male,Yes,0,Not Graduate,Yes,156132,176493,1267888,120,0,Urban,N
LP01592,Male,Yes,0,Not Graduate,Yes,179054,196827,421199,300,0,Semiurban,N
LP01934,Female,No,3+,Graduate,Yes,180332,150683,1628516,300,0,Rural,N
LP01092,Female,No,2,Not Graduate,No,162774,3640,2718173,240,0,Urban,N
LP01004,Male,No,3+,Not Graduate,No,283103,87190,2500243,240,0,Urban,N
LP00104,Female,No,0,Graduate,Yes,437814,44568,1473738,300,0,Rural,N
LP01794,Male,No,0,Graduate,No,177551,182907,4926284,300,0,Semiurban,N
LP00466,Female,No,3+,Not Graduate,Yes,208334,143740,4673882,240,1,Rural,Y
LP00397,Female,Yes,3+,Not Graduate,Yes,57422,103309,2956189,300,0,Semiurban,N
LP01590,Female,Yes,2,Not Graduate,Yes,235001,120108,645698,360,0,Rural,N
LP01437,Male,Yes,3+,Not Graduate,No,85662,129544,2773283,240,0,Semiurban,N
LP00903,Male,Yes,1,Graduate,Yes,384241,45610,354501,240,0,Rural,N
LP00969,Female,Yes,2,Not Graduate,Yes,321865,187462,2615190,180,1,Urban,Y
LP00198,Female,Yes,3+,Not Graduate,Yes,278798,49061,4123366,180,0,Semiurban,N
LP01068,Female,Yes,0,Graduate,Yes,180599,185162,1577232,360,0,Semiurban,N
LP00992,Female,No,1,Not Graduate,No,240601,58519,2915444,180,1,Urban,Y
LP01880,Female,Yes,0,Graduate,No,322568,46548,2674807,240,0,Semiurban,N
LP01659,Female,Yes,0,Graduate,No,427170,123336,3133104,300,0,Urban,N
LP01441,Male,No,0,Graduate,Yes,257483,106755,2526956,360,0,Rural,N
LP00710,Female,Yes,1,Not Graduate,No,333594,6567,4810305,120,1,Semiurban,Y
LP00873,Male,Yes,0,Not Graduate,Yes,360315,44341,3235623,180,1,Rural,Y
LP00026,Female,Yes,0,Not Graduate,No,239125,84426,2709769,300,0,Rural,N
LP00719,Female,Yes,0,Graduate,No,269577,132488,2247452,120,1,Semiurban,Y
LP01721,Female,Yes,1,Not Graduate,Yes,40436,59801,2595785,240,0,Semiurban,N
LP00221,Female,Yes,3+,Not Graduate,Yes,90502,189424,4401974,120,0,Rural,N
LP01480,Male,Yes,0,Graduate,No,359600,15579,2827480,360,1,Semiurban,Y
LP00246,Male,No,3+,Graduate,Yes,354185,162570,1518129,300,1,Urban,Y
LP01392,Female,Yes,1,Graduate,Yes,108970,93960,288477,120,0,Rural,N
LP01139,Male,Yes,3+,Graduate,No,239223,124872,2044488,300,0,Urban,N
LP00899,Male,No,3+,Graduate,Yes,115731,14543,2721205,240,0,Urban,N
LP00905,Female,No,0,Not Graduate,Yes,200134,189049,2711014,240,1,Urban,Y
LP00020,Female,No,3+,Not Graduate,Yes,414743,121580,4385328,300,0,Semiurban,N
LP00536,Female,Yes,2,Not Graduate,Yes,451667,155831,3703728,180,1,Semiurban,Y
LP00962,Female,No,2,Graduate,Yes,186085,198854,1560777,300,0,Semiurban,N
LP01599,Male,Yes,3+,Not Graduate,Yes,426530,99757,4642714,180,0,Urban,N
LP00916,Female,Yes,0,Not Graduate,Yes,73624,8637,3260575,180,1,Urban,N
LP00514,Female,Yes,0,Not Graduate,No,261841,157294,2984081,300,1,Rural,Y
LP00607,Female,No,3+,Graduate,No,343592,30431,1035277,300,1,Rural,Y
LP01077,Male,Yes,3+,Graduate,No,454242,133219,1150794,240,1,Rural,Y
LP01455,Male,No,3+,Not Graduate,Yes,159128,52952,983234,180,1,Urban,Y
LP00929,Female,Yes,3+,Graduate,No,460009,77394,4960365,180,1,Urban,Y
LP00228,Male,Yes,1,Graduate,Yes,180135,105655,1501571,300,0,Semiurban,N
LP01644,Male,Yes,0,Not Graduate,Yes,394541,191058,1046367,120,1,Urban,Y
LP00179,Female,Yes,0,Graduate,Yes,248891,101889,1506376,240,1,Rural,Y
LP01885,Female,Yes,1,Graduate,Yes,172934,72536,2271011,120,0,Urban,N
LP00159,Male,Yes,3+,Graduate,Yes,277879,196643,1749907,180,1,Semiurban,Y
LP00993,Female,Yes,1,Graduate,No,231673,110769,4576277,180,1,Urban,Y
LP00287,Female,No,1,Graduate,Yes,386436,183880,3992328,360,1,Semiurban,Y
LP01315,Female,Yes,3+,Not Graduate,Yes,492088,35280,2791346,180,1,Semiurban,Y
LP01854,Male,No,1,Graduate,Yes,463016,155778,1476634,300,0,Urban,N
LP01094,Female,Yes,1,Graduate,Yes,136480,173276,349486,120,1,Semiurban,Y
LP00336,Male,Yes,2,Graduate,No,296677,158912,1064799,300,1,Semiurban,Y
LP00902,Female,Yes,2,Graduate,Yes,199963,155603,2557734,300,1,Urban,Y
LP00431,Female,Yes,1,Graduate,No,221779,168573,607028,360,0,Urban,N
LP01089,Female,No,0,Graduate,No,176010,81920,1110555,360,0,Urban,N
LP00111,Male,No,2,Graduate,Yes,147592,157155,3018743,180,0,Semiurban,N
LP01071,Male,Yes,3+,Not Graduate,No,343282,47262,840593,180,1,Urban,Y
LP00688,Female,Yes,2,Not Graduate,Yes,318865,95510,4254340,120,1,Rural,Y
LP01043,Female,Yes,3+,Graduate,Yes,282180,122403,1952766,180,0,Urban,N
LP01414,Female,No,3+,Not Graduate,Yes,215094,3505,2860616,120,1,Rural,Y
LP01620,Male,No,1,Graduate,No,128731,36782,774668,360,0,Rural,N
LP00879,Female,No,2,Not Graduate,No,368018,133568,2202767,240,0,Urban,N
LP01206,Male,Yes,0,Not Graduate,Yes,444813,149698,4437763,240,0,Urban,N
LP00477,Male,Yes,1,Not Graduate,Yes,211210,193115,3136112,240,1,Rural,Y
LP01111,Female,Yes,1,Not Graduate,No,380056,48171,3463939,300,0,Semiurban,N
LP01999,Female,Yes,2,Not Graduate,Yes,339792,153900,3985669,240,1,Urban,Y
LP00689,Female,No,0,Not Graduate,No,108427,68216,1184351,240,1,Semiurban,Y
LP00722,Female,Yes,3+,Graduate,Yes,335915,129018,230712,300,0,Semiurban,N
LP00881,Male,No,2,Not Graduate,No,487470,93148,2236108,300,0,Urban,N
LP00976,Male,No,2,Graduate,Yes,328276,41796,1635766,240,1,Urban,Y
LP00550,Female,Yes,2,Graduate,No,58204,156327,627099,180,1,Rural,Y
LP01647,Male,No,2,Graduate,Yes,480233,38268,4347296,240,0,Urban,N
LP00217,Female,No,0,Not Graduate,Yes,497638,180012,4279998,360,1,Urban,Y
LP01517,Male,Yes,0,Graduate,Yes,49900,64343,2759000,180,1,Rural,N
LP01140,Male,No,1,Graduate,No,345765,194428,2188191,300,0,Urban,N
LP00442,Male,No,3+,Not Graduate,Yes,360774,31948,4912322,300,0,Urban,N
LP00348,Male,No,3+,Not Graduate,Yes,450513,161853,655630,120,0,Rural,N
LP00197,Male,Yes,2,Not Graduate,Yes,436503,85456,3348582,240,0,Rural,N
LP01800,Male,Yes,3+,Graduate,No,190860,13736,2222904,240,0,Semiurban,N
LP00823,Male,No,1,Not Graduate,Yes,78586,78061,1317900,360,0,Semiurban,N
LP01989,Female,No,2,Not Graduate,No,218904,184864,2712325,300,0,Rural,N
LP01488,Female,No,1,Not Graduate,Yes,472429,120561,308511,360,0,Semiurban,N
LP00791,Female,Yes,0,Not Graduate,No,165494,67754,956561,120,0,Semiurban,N
LP01567,Female,Yes,1,Graduate,Yes,341339,31101,1720954,120,1,Urban,Y
LP00866,Male,Yes,2,Graduate,No,271983,143590,338510,300,0,Rural,N
LP00880,Male,Yes,3+,Not Graduate,Yes,161182,49238,2016452,180,0,Rural,N
LP00136,Male,No,0,Not Graduate,Yes,216389,147112,955619,300,1,Urban,Y
LP00849,Male,No,3+,Not Graduate,Yes,375304,15205,3054906,300,1,Semiurban,Y
LP01056,Male,Yes,2,Graduate,Yes,471367,138,285879,240,0,Urban,N
LP01538,Male,Yes,1,Graduate,Yes,49456,182500,4638279,120,0,Urban,N
LP00091,Male,No,2,Graduate,No,492037,159080,4174176,300,1,Rural,Y
LP00429,Male,Yes,0,Graduate,Yes,170083,37405,2780326,300,1,Semiurban,Y
LP01723,Female,No,2,Not Graduate,No,39207,10151,3931409,180,0,Semiurban,N
LP01041,Female,No,2,Not Graduate,No,408588,157175,3803758,180,0,Semiurban,N
LP01413,Female,Yes,2,Not Graduate,Yes,360822,137758,1436766,120,1,Semiurban,Y
LP01238,Female,No,3+,Graduate,No,98430,34476,1479112,180,1,Rural,Y
LP01483,Female,No,2,Graduate,No,308648,76724,1214639,360,1,Semiurban,Y
LP01503,Male,No,3+,Graduate,No,386334,51105,4324448,240,0,Urban,N
LP00499,Female,No,2,Not Graduate,Yes,42621,25086,2176434,180,0,Rural,N
LP00884,Male,Yes,3+,Not Graduate,No,24470,44688,3514787,180,1,Semiurban,N
LP00155,Female,Yes,3+,Not Graduate,Yes,469009,48249,1435749,360,1,Urban,Y
LP00437,Male,Yes,2,Not Graduate,Yes,390277,55019,2768479,180,0,Semiurban,N
LP00554,Female,Yes,2,Not Graduate,No,142943,179602,4302845,120,0,Rural,N
LP00942,Male,Yes,1,Not Graduate,No,94956,130970,1685445,240,1,Semiurban,Y
LP01635,Female,No,3+,Graduate,Yes,330147,151745,3748540,300,0,Urban,N
LP00623,Male,No,2,Graduate,Yes,419257,57801,1030415,240,0,Rural,N
LP00859,Male,No,2,Graduate,Yes,385686,93660,1894797,180,0,Semiurban,N
LP00500,Male,No,2,Graduate,No,62046,47317,4622893,120,1,Urban,N
LP01331,Male,No,3+,Not Graduate,No,314507,23960,1759039,300,1,Rural,Y
LP01024,Male,No,0,Graduate,Yes,311678,65525,1482063,120,0,Semiurban,N
LP00921,Male,No,0,Graduate,Yes,135228,86184,918386,360,0,Urban,N
LP01858,Male,Yes,3+,Graduate,No,433199,35859,1658381,180,0,Rural,N
LP00893,Male,No,2,Not Graduate,No,349896,18726,4171745,180,0,Rural,N
LP00600,Female,No,1,Graduate,No,358050,136049,375992,180,0,Urban,N
LP00489,Male,Yes,0,Not Graduate,No,423551,90596,2043131,180,0,Urban,N
LP01570,Male,No,1,Not Graduate,No,346188,35543,4348894,120,1,Urban,Y
LP00147,Female,No,3+,Not Graduate,No,251813,196918,3163799,120,1,Semiurban,Y
LP01835,Male,Yes,3+,Not Graduate,Yes,449633,34611,1616139,240,1,Rural,Y
LP00635,Male,No,2,Graduate,Yes,268624,78212,4858679,180,1,Semiurban,Y
LP00796,Female,Yes,0,Graduate,Yes,415446,30661,551366,360,0,Urban,N
LP00531,Female,No,0,Not Graduate,Yes,392597,156971,997439,180,0,Semiurban,N
LP01608,Male,Yes,1,Graduate,No,198725,72567,1011445,360,1,Semiurban,Y
LP00421,Male,Yes,3+,Not Graduate,Yes,371459,62717,3103989,300,1,Rural,Y
LP00778,Female,No,0,Graduate,Yes,68618,88693,4887210,180,1,Rural,N
LP00507,Male,Yes,3+,Not Graduate,Yes,225791,174682,3309478,120,1,Rural,Y
LP01120,Male,No,3+,Graduate,Yes,379292,114197,1059075,240,0,Semiurban,N
LP00080,Female,No,1,Graduate,Yes,30742,16293,1576449,180,0,Urban,N
LP00957,Female,No,0,Not Graduate,Yes,247548,42907,2711060,180,0,Urban,N
LP00839,Male,Yes,2,Not Graduate,Yes,27583,118893,351864,240,1,Urban,Y
LP01743,Male,Yes,3+,Not Graduate,Yes,25598,163315,4888637,120,1,Semiurban,N
LP01065,Female,Yes,2,Not Graduate,No,265547,178403,2114772,360,0,Rural,N
LP00966,Male,No,3+,Graduate,Yes,296948,60865,379218,120,0,Rural,N
LP01768,Male,No,1,Not Graduate,No,304533,92283,571954,300,0,Rural,N
LP01910,Female,Yes,0,Graduate,No,170777,115318,4870458,240,0,Rural,N
LP01564,Female,Yes,1,Graduate,Yes,278824,50861,2637193,180,0,Urban,N
LP00991,Male,Yes,0,Not Graduate,Yes,333989,105245,4962568,240,1,Urban,Y
LP01246,Female,Yes,1,Graduate,Yes,498937,53041,4308865,360,0,Urban,N
LP00570,Female,No,0,Graduate,Yes,414026,115295,265219,120,1,Semiurban,Y
LP00337,Male,No,1,Not Graduate,No,446794,107121,4486797,360,0,Urban,N
LP01339,Female,No,1,Graduate,Yes,259322,50824,3711463,120,0,Semiurban,N
LP01961,Male,No,3+,Graduate,No,348973,118037,1530273,240,0,Semiurban,N
LP01740,Male,Yes,1,Graduate,No,47691,24732,342246,360,0,Rural,N
LP00330,Female,Yes,0,Graduate,Yes,306257,138044,1935030,240,1,Urban,Y
LP00543,Male,Yes,3+,Graduate,Yes,386097,128252,3932793,360,0,Urban,N
LP01304,Male,Yes,0,Not Graduate,No,480831,145304,2302038,180,1,Rural,Y
LP00148,Female,No,3+,Graduate,No,120118,158457,1221988,300,1,Rural,Y
LP00705,Female,No,3+,Graduate,No,123189,96291,991406,240,0,Urban,N
LP01942,Male,Yes,3+,Graduate,Yes,190706,85794,4242315,300,0,Urban,N
LP01226,Male,Yes,0,Not Graduate,No,31611,184444,517378,240,1,Rural,Y
LP01996,Male,Yes,0,Not Graduate,Yes,227475,103785,4197991,120,1,Urban,Y
LP00535,Male,No,3+,Not Graduate,No,303443,72712,3691139,300,1,Semiurban,Y
LP00216,Male,Yes,1,Not Graduate,No,20060,102637,3492155,180,0,Rural,N
LP00025,Female,No,0,Not Graduate,No,177242,69180,3185674,120,1,Urban,Y
LP00087,Male,Yes,0,Not Graduate,No,299151,115967,675445,240,0,Semiurban,N
LP00753,Male,No,0,Not Graduate,No,174440,90547,1117425,180,0,Urban,N
LP00018,Male,No,2,Not Graduate,Yes,399142,27475,1941483,180,0,Urban,N
LP00187,Female,Yes,0,Graduate,Yes,374527,11538,941313,300,0,Rural,N
LP01028,Female,Yes,1,Not Graduate,Yes,202728,130757,308173,180,0,Urban,N
LP01995,Male,No,2,Graduate,Yes,205417,69616,3418717,360,1,Semiurban,Y
LP00721,Female,Yes,0,Graduate,Yes,56593,118363,728431,360,0,Urban,N
LP01875,Female,Yes,2,Not Graduate,Yes,258365,142712,1413736,300,0,Semiurban,N
LP00227,Male,Yes,3+,Graduate,Yes,21494,14975,3598128,120,1,Urban,N
LP00310,Female,No,3+,Graduate,Yes,304440,100179,460291,120,0,Rural,N
LP01277,Female,No,3+,Not Graduate,Yes,240640,1878,2294693,360,0,Urban,N
LP01776,Female,Yes,1,Graduate,No,74394,79993,4552607,120,1,Rural,N
LP00165,Female,Yes,0,Not Graduate,No,219880,128118,269275,240,0,Semiurban,N
LP00468,Male,No,0,Not Graduate,No,431485,74825,3697537,300,1,Rural,Y
LP01834,Male,Yes,3+,Graduate,Yes,485628,39154,4691038,180,1,Rural,Y
LP00706,Male,No,2,Not Graduate,No,268690,54768,3585480,300,1,Rural,Y
LP01058,Female,Yes,3+,Graduate,Yes,63719,20805,1337341,240,0,Rural,N
LP00038,Male,Yes,0,Graduate,Yes,38072,49907,4702747,120,0,Urban,N
LP00059,Male,Yes,0,Not Graduate,Yes,96655,99539,4452514,360,0,Rural,N
LP00235,Female,Yes,2,Graduate,No,497525,132045,3007590,300,0,Rural,N
LP00735,Male,Yes,0,Not Graduate,Yes,394923,192936,4355836,360,1,Urban,Y
LP01562,Male,Yes,1,Not Graduate,No,420048,139731,514286,240,1,Rural,Y
LP00117,Male,Yes,2,Graduate,No,496030,35030,1727027,180,0,Urban,N
LP01082,Male,No,2,Not Graduate,No,250326,14249,4888507,240,0,Rural,N
LP00610,Male,No,0,Graduate,Yes,44047,45316,1442929,180,1,Semiurban,Y
LP00762,Male,No,0,Graduate,Yes,69623,95338,1927836,240,0,Semiurban,N
LP01257,Male,No,0,Not Graduate,No,208321,145099,70633,300,0,Rural,N
LP00381,Female,Yes,3+,Not Graduate,Yes,179953,83730,3055505,300,0,Semiurban,N
LP00758,Male,No,3+,Graduate,Yes,446871,159648,4543365,300,1,Urban,Y
LP01186,Female,No,1,Graduate,Yes,58893,139435,251859,360,1,Semiurban,Y
LP01380,Female,No,1,Not Graduate,No,207124,194823,717851,240,1,Urban,Y
LP01107,Female,Yes,0,Not Graduate,Yes,485547,56348,1449321,120,1,Urban,Y
LP00934,Male,No,3+,Graduate,No,184622,52917,3677657,180,0,Rural,N
LP00414,Male,Yes,0,Graduate,Yes,216817,31452,2300692,180,0,Rural,N
LP01193,Female,Yes,1,Not Graduate,No,100305,84554,4167187,180,0,Urban,N
LP01046,Male,Yes,0,Graduate,Yes,276842,139843,282829,360,0,Urban,N
LP01541,Male,Yes,3+,Graduate,No,279856,120657,3370778,240,1,Semiurban,Y
LP01898,Female,No,3+,Graduate,No,361764,34033,1614697,360,0,Rural,N
LP00825,Female,Yes,1,Graduate,No,34852,27119,2853338,120,1,Semiurban,N
LP01929,Male,Yes,2,Not Graduate,No,105356,113558,3918211,360,1,Rural,Y
LP00247,Male,Yes,0,Not Graduate,No,170320,120799,923284,120,1,Semiurban,Y
LP01573,Male,No,2,Graduate,Yes,337359,9771,687988,240,0,Rural,N
LP01239,Male,No,1,Not Graduate,No,46462,100365,3403541,180,1,Rural,N
LP01924,Female,Yes,1,Not Graduate,No,488320,97121,852162,360,1,Rural,Y
LP00032,Female,No,0,Graduate,No,308184,57189,3376511,180,0,Urban,N
LP01636,Female,Yes,0,Not Graduate,Yes,188658,23316,3884822,300,1,Semiurban,Y
LP00814,Male,No,1,Not Graduate,Yes,174680,64145,2141400,300,1,Semiurban,Y
LP00161,Male,No,0,Graduate,Yes,48539,185645,4157368,120,1,Semiurban,Y
LP01695,Male,Yes,0,Graduate,Yes,289042,12304,424721,240,0,Rural,N
LP00552,Male,No,2,Graduate,No,467543,187545,4283548,300,1,Urban,Y
LP00537,Female,Yes,0,Graduate,Yes,207943,149769,3938453,120,1,Urban,Y
LP00224,Female,Yes,1,Graduate,No,201372,122092,4646375,360,1,Urban,Y
LP01949,Male,No,3+,Graduate,No,347181,118784,3166125,360,1,Rural,Y
LP01954,Female,Yes,1,Not Graduate,No,412527,51396,940043,240,1,Urban,Y
LP00549,Male,No,2,Not Graduate,No,404656,38299,4650238,120,0,Semiurban,N
LP01273,Male,No,3+,Graduate,No,136540,19788,4289068,300,1,Rural,N
LP01079,Female,Yes,3+,Graduate,Yes,120069,162435,473617,120,0,Rural,N
LP01373,Female,No,3+,Graduate,Yes,438385,2678,3740955,300,0,Urban,N
LP00990,Female,Yes,2,Graduate,No,340446,118592,3386856,240,0,Rural,N
LP01633,Female,No,2,Graduate,No,74344,195005,2410327,180,1,Urban,Y
LP01501,Female,No,1,Not Graduate,No,86659,153279,1802152,180,0,Semiurban,N
LP01055,Female,Yes,1,Not Graduate,No,108561,100189,3402950,360,0,Rural,N
LP01574,Male,Yes,0,Graduate,No,66735,71367,523889,180,0,Urban,N
LP00317,Male,Yes,2,Graduate,No,460858,106247,4966985,120,0,Semiurban,N
LP01499,Male,Yes,3+,Not Graduate,Yes,42114,127937,1970329,120,1,Urban,Y
LP01918,Male,No,2,Not Graduate,No,402726,66186,4852679,180,0,Semiurban,N
LP01777,Male,Yes,1,Graduate,No,87098,33883,2948420,300,0,Rural,N
LP01204,Male,No,2,Not Graduate,Yes,98540,195679,2338679,120,1,Urban,Y
LP00707,Female,Yes,3+,Not Graduate,No,470434,78205,4631013,360,0,Rural,N
LP01452,Female,Yes,3+,Not Graduate,Yes,252559,189241,2425075,240,0,Urban,N
LP01454,Female,No,1,Not Graduate,No,58005,117264,2346548,240,1,Urban,Y
LP00667,Female,Yes,0,Graduate,No,276573,59132,1622916,300,0,Semiurban,N
LP01406,Female,No,2,Graduate,No,115038,94501,2960905,180,0,Rural,N
LP00872,Male,Yes,0,Not Graduate,No,267351,189905,882730,300,1,Rural,Y
LP00877,Female,Yes,2,Not Graduate,Yes,256047,41061,354680,240,1,Semiurban,Y
LP01670,Male,Yes,2,Graduate,No,421960,182593,3866958,180,0,Semiurban,N
LP01955,Male,No,0,Not Graduate,Yes,261316,150484,1011502,300,1,Semiurban,Y
LP00118,Male,No,0,Not Graduate,No,292249,145147,3126926,120,0,Rural,N
